appid,name,price,positive_ratings,negative_ratings,total_ratings
406650,Ratings War,2.89,41,11,52
406670,Impossible Geometry,1.99,10,8,18
406690,Roses and Gems,3.99,5,0,5
406720,Alekhine's Gun,29.99,166,100,266
406730,1,000 Heads Among the Trees,4.99,46,37,83
406760,FL337 - Fleet,3.99,2,2,4
406780,Welcome to Boon Hill,5.79,28,4,32
406850,Crush Your Enemies,6.99,248,49,297
406860,Blind,19.49,27,5,32
406870,Eventide: Slavic Fable,6.99,440,22,462
406920,Monsterland,0.79,29,1,30
406930,Epic Showdown,3.99,18,20,38
406940,Dub Dash,3.99,147,59,206
406970,The Uncertain: Last Quiet Day,10.99,1046,256,1302
407000,Survival Is Not Enough,3.99,18,29,47
40700,Machinarium,7.99,5437,264,5701
407020,Star Sky - ブルームーン,2.79,152,40,192
407050,Mussoumano: Ataque dos Haters,9.99,16,7,23
407060,AltspaceVR—The Social VR App,0.00,328,83,411
407100,Gulf of Aden - Task Force Somalia,5.59,20,0,20
407110,Swarm Universe,5.79,22,3,25
407120,Soccer Manager 2016,0.00,523,218,741
407150,Trap Them - Sniper Edition,2.79,11,11,22
407190,Club Manager 2016,14.99,40,38,78
40720,Samorost 2,3.99,716,149,865
407230,Legend of Mysteria RPG,1.59,410,182,592
407290,There Was A Caveman,4.99,90,32,122
407300,The Last NightMary - A Lenda do Cabeça de Cuia,2.79,466,119,585
407310,NEKO-NIN exHeart,6.99,652,23,675
407320,My Little Kitties,6.99,57,2,59
407330,Sakura Dungeon,14.99,1041,88,1129
407340,Strawberry Vinegar,6.99,90,4,94
407380,Strania - The Stella Machina -,10.99,38,1,39
407420,Gabe Newell Simulator 2.0,1.99,269,297,566
407560,Killing Room,6.99,635,291,926
407600,Raiden Legacy - Steam Edition,6.99,33,30,63
407620,Indie Game Battle,3.99,81,100,181
407630,Skein,5.99,17,3,20
407680,Last Days of Spring Visual Novel,2.09,64,41,105
407690,R.B.I. Baseball 16,14.99,41,57,98
407700,Lonath Online,4.99,9,24,33
407710,The Grand Canyon VR Experience,1.99,42,22,64
407720,Poker Pretty Girls Battle: Texas Hold'em,6.99,64,72,136
407780,Lethe - Episode One,11.99,222,27,249
407810,Hard Reset Redux,14.99,772,181,953
407830,Space Overlords,5.59,5,12,17
407840,Guardians of Orion (Phase 1),0.79,2080,1642,3722
407880,Mad Nords: Probably an Epic Quest,4.79,90,6,96
407900,Princess Remedy in a World of Hurt,0.00,2305,53,2358
407940,Hyper Bounce Blast,3.99,74,4,78
407980,Sakura Beach 2,6.99,286,100,386
408000,Cinderella Escape! R12,3.99,259,65,324
408030,UniBall,0.00,145,12,157
408110,Planet R-12,0.79,116,24,140
408170,Networm,1.59,21,0,21
408240,Slime Jumper,3.99,11,0,11
408250,Eagle Flight,16.99,160,83,243
408280,Message Quest,1.99,649,103,752
408340,Gravity Lab - Gravitational Testing Facility & Observations,14.99,30,3,33
408400,Swords and Sorcery - Underworld - Definitive Edition,10.99,55,12,67
408410,X-Morph: Defense,14.99,818,60,878
408440,Dream Factory,7.99,18,63,81
408520,FORM,10.99,551,45,596
408640,Code of Princess,10.99,125,90,215
408650,ChromaGun,9.99,325,34,359
408740,Pro Gamer Manager,6.99,367,359,726
408750,Starsphere,2.89,25,5,30
408760,Pro Cycling Manager 2016,14.99,186,123,309
408770,Highschool Possession,7.19,100,41,141
408860,Dead Stop,5.49,4,3,7
408880,Heal Them All,5.49,3,2,5
408900,Unfortunate Spacemen,10.99,156,39,195
408930,ePic Character Generator,0.00,77,89,166
408960,Zombasite,14.99,108,31,139
408990,Timber and Stone,9.99,357,365,722
409000,Mystery Chronicle: One Way Heroics,6.99,172,92,264
409040,Herolike,5.59,31,15,46
409070,Fist Slash: Of Ultimate Fury,2.99,28,10,38
409090,The Big Secret of a Small Town,4.99,44,19,63
409100,The Purring Quest,6.99,883,153,1036
409130,Demigods,2.79,7,6,13
409160,Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist,0.00,7642,529,8171
409170,Contract,1.99,34,24,58
409280,Blue Sheep,1.59,15,19,34
409290,Herding Dog,1.99,30,17,47
40930,The Misadventures of P.B. Winterbottom,3.99,323,42,365
409320,Syndrome,15.49,140,68,208
409340,Perraw - FPS Clone War Alpha,0.79,71,35,106
409360,Faron's Fate,2.79,22,12,34
409370,Monster RPG 2,2.09,15,13,28
409380,Among the Heavens,1.99,210,39,249
409390,Marble Mountain,3.99,40,14,54
409410,Clumsy Moose Season,7.19,30,20,50
409420,Knight Adventure,0.79,19,32,51
409440,SnakEscape [REMASTERED],5.79,81,13,94
409450,The Fall of the Dungeon Guardians - Enhanced Edition,14.99,356,62,418
409460,Blackfaun,3.99,19,9,28
409490,Rogue Harvest,3.99,41,23,64
40950,Stronghold HD,3.49,2992,199,3191
409510,Genesis Online,0.00,602,1330,1932
409520,Ginger: Beyond the Crystal,10.99,31,18,49
409560,Run Rabbit Run,2.79,71,17,88
409580,No1Left,5.99,4,4,8
409590,KINGDOMS,6.99,974,567,1541
409600,Contract With The Devil,3.99,91,41,132
409610,One Final Chaos,3.99,9,0,9
409630,Rumble,1.59,16,17,33
409660,Angry Video Game Nerd II: ASSimilation,6.99,498,51,549
409670,Pink Hour,0.00,816,66,882
409690,Pink Heaven,0.00,574,63,637
40970,Stronghold Crusader HD,7.49,4079,170,4249
409710,BioShock™ Remastered,9.99,8652,5121,13773
409720,BioShock™ 2 Remastered,13.99,2796,2808,5604
40980,Stronghold Legends: Steam Edition,11.99,404,123,527
409850,Criminal Girls: Invite Only / クリミナルガールズ INVITATION,14.99,230,57,287
409870,Phantom Brave PC / ファントム・ブレイブ PC,10.99,214,21,235
409890,Stranger of Sword City / 剣の街の異邦人 ～黒の宮殿～,14.99,255,107,362
40990,Mafia,7.99,1727,180,1907
409910,The Storm Guard: Darkness is Coming,14.99,105,24,129
409920,Brilliant Shadows - Part One of the Book of Gray Magic,4.99,163,10,173
40,Deathmatch Classic,3.99,1273,267,1540
410000,Chalo Chalo,6.99,11,2,13
41000,Serious Sam HD: The First Encounter,10.99,3950,269,4219
410040,Hope in Hell,1.99,2,8,10
410050,The Forgotten Forest,0.79,5,4,9
4100,Poker Superstars II,5.99,4,5,9
410110,12 is Better Than 6,6.99,3192,576,3768
410120,AGON - The Mysterious Codex (Trilogy),6.99,23,8,31
410130,AGON - The Lost Sword of Toledo,6.99,26,14,40
410150,Swapperoo,3.99,35,3,38
410210,Ampersand,0.79,319,680,999
410290,Acorn Assault: Rodent Revolution,7.19,43,10,53
410320,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,15.49,4325,267,4592
410330,TurretCraft,7.19,7,3,10
410340,Liftoff: FPV Drone Racing,14.99,924,134,1058
410370,Huenison,3.99,8,1,9
410380,HEX: Shards of Fate,0.00,1055,580,1635
410390,Warhammer: Vermintide VR - Hero Trials,0.00,96,57,153
410430,Morphine,1.99,414,138,552
410440,Vertigo Void,3.99,34,7,41
410470,Expander,1.99,12,4,16
410490,Elements: Epic Heroes,4.99,15,17,32
410540,Starlord,4.99,5,4,9
410550,Tank: M1A1 Abrams Battle Simulation,4.99,7,3,10
410570,Gunjack,4.24,153,34,187
410670,Suits: A Business RPG,0.79,571,81,652
41070,Serious Sam 3: BFE,29.99,15574,1977,17551
410710,System Shock: Enhanced Edition,6.99,626,76,702
410770,Roads of Rome,2.79,17,7,24
410820,Starward Rogue,8.99,380,25,405
410830,ARENA GODS®,11.39,78,12,90
410840,Rock God Tycoon,8.29,182,50,232
410850,DRAGON QUEST HEROES™ Slime Edition,24.99,698,327,1025
410890,Higurashi When They Cry Hou - Ch.2 Watanagashi,5.59,318,10,328
410900,Forts,10.99,2073,549,2622
410910,Deathless: The City's Thirst,2.89,22,4,26
410970,Master of Orion 1,0.00,74,10,84
410980,Master of Orion 2,0.00,350,13,363
410990,Master of Orion 3,0.00,26,34,60
411000,Sorcery! Parts 1 and 2,9.99,235,38,273
41100,Hammerfight,3.99,1051,514,1565
411060,Roads of Rome 2,2.79,13,2,15
411070,Mass Vector,4.79,3,2,5
411080,SHOWTIME 2073,1.59,206,54,260
411120,Galaxy Admirals,1.59,173,29,202
411130,Leviathan: the Cargo — Ongoing series,1.69,35,24,59
411300,ELEX,39.99,7388,2427,9815
411310,Codename: Panzers, Phase One,13.99,112,14,126
411320,Codename: Panzers, Phase Two,13.99,65,7,72
411330,Men of Valor,8.99,157,71,228
411370,Melty Blood Actress Again Current Code,18.99,1205,117,1322
411390,Getsuei Gakuen -kou-,18.99,15,2,17
411480,BATTLECREW™ Space Pirates,0.00,92,77,169
411520,State of Extinction,6.99,7,7,14
411530,Roads of Rome 3,2.79,12,3,15
411540,Hybrid Wars,5.19,112,58,170
411560,Reveal The Deep,0.79,1081,194,1275
411570,Zombie Exodus,5.79,118,13,131
411590,The Rivers of Alice - Extended Version,5.59,67,14,81
411600,The Sentient,6.99,37,21,58
411610,Tick's Tales,5.59,42,5,47
411620,Pane In The Glass,3.99,20,13,33
411630,Wicked Witches,6.99,7,7,14
411680,Loot Hound™,2.09,60,11,71
411690,VROOM: Galleon,5.19,17,6,23
411720,Quantum Lock,4.79,8,1,9
411740,Yet Another World,5.79,51,12,63
411750,Brick Inventions,3.99,37,10,47
411760,Swordbreaker The Game,1.99,272,48,320
411820,The FOO Show featuring Will Smith,0.00,130,11,141
411830,SENRAN KAGURA SHINOVI VERSUS,14.99,2991,160,3151
411860,Save the Creatures,1.59,1,1,2
411870,Discovering Colors - Animals,2.79,18,0,18
411880,Once',2.09,29,1,30
411960,TY the Tasmanian Tiger,10.99,1676,26,1702
411970,TY the Tasmanian Tiger 2,11.39,337,11,348
411980,TY the Tasmanian Tiger 3,11.39,64,1,65
412010,Crossbow Warrior - The Legend of William Tell,3.99,21,13,34
412050,HordeZ,12.99,325,59,384
412130,Era of Majesty,4.79,151,93,244
412140,Electric Highways,0.00,1139,143,1282
412150,Midsummer Night,3.19,208,33,241
412170,City of Chains,5.99,207,64,271
412210,Warfront Defenders: Westerplatte,3.99,15,16,31
412230,Infinitrap Classic: Ohio Jack and The Cup Of Eternity,0.00,43,12,55
412270,Stories of Bethem: Full Moon,3.99,74,11,85
412290,The Dreamlord,2.79,23,46,69
412310,Labyrinth,0.00,188,76,264
412360,SightLineVR,0.00,15,3,18
412370,Parallels,0.79,10,6,16
412380,Legend (1994),3.99,30,17,47
412400,GASP,0.00,293,1159,1452
412410,Castle Chaos,2.09,32,23,55
412440,Jane's Realty,1.99,4,4,8
412450,The Black Death,14.99,1134,756,1890
412460,Villagers,14.99,144,130,274
412470,Metal War Online: Retribution,0.00,438,361,799
412480,Turtle Odyssey,1.99,36,2,38
412490,Yrminsul,6.99,20,13,33
412520,Evil Defenders,7.19,244,65,309
412530,Atlantic Quest 2 - New Adventure -,6.19,10,1,11
412540,The Minotaur,1.59,16,6,22
412560,Pro Basketball Manager 2016 - US Edition,6.99,0,2,2
412600,Lup,0.79,149,186,335
412620,CropDuster Supreme,0.79,107,8,115
412640,Immerse Creator,14.99,2,1,3
412660,Klang,10.99,80,19,99
412670,Bullet Heaven 2,8.99,231,6,237
412730,Days Under Custody,3.99,51,89,140
412740,Audioshield,14.99,2080,426,2506
412760,Revolve,6.99,9,0,9
412770,Boogeyman,3.99,297,54,351
412790,Adventure Time: Magic Man's Head Games,3.99,105,36,141
412830,STEINS;GATE,23.99,5720,130,5850
412880,Drift Streets Japan,1.69,1899,977,2876
412930,Farm Mania: Hot Vacation,2.79,14,1,15
412970,Beatbuddy: On Tour,4.99,9,6,15
41300,Altitude,0.00,1540,128,1668
413030,Mytheon,6.99,54,37,91
413040,Eekeemoo - Splinters of the Dark Shard,3.99,3,2,5
413150,Stardew Valley,10.99,118217,3761,121978
413350,Daydream Blue,3.99,0,2,2
413410,Danganronpa: Trigger Happy Havoc,14.99,5714,167,5881
413420,Danganronpa 2: Goodbye Despair,14.99,4677,148,4825
413470,Where Angels Cry: Tears of the Fallen (Collector's Edition),6.99,9,4,13
413480,101 Ways to Die,7.99,28,6,34
413490,Rothschild: The Sheep Will Wake,6.99,6,5,11
413500,Rocket Fist,3.99,60,8,68
413510,The Extinction,2.09,23,16,39
413540,Recourse,15.49,14,0,14
413580,Reverse x Reverse,6.99,15,0,15
413620,Space Needle VR,0.00,6,11,17
413680,Statues,3.99,151,69,220
413700,Run Turn Die,1.99,18,1,19
413710,Blood and Gold: Caribbean!,14.99,548,379,927
413740,Mines of Mars,4.99,21,17,38
413760,Go To Bed: Survive The Night,3.23,14,20,34
413830,Overdosed - A Trip To Hell,4.99,10,6,16
413870,Sickness,6.99,97,7,104
41400,Doom Rails,1.99,8,20,28
414060,iso-Sphere,3.99,10,10,20
414070,Shut Up And Dig,3.99,250,173,423
414080,Life is Hard,5.99,339,132,471
414090,The Warden,8.99,11,6,17
414120,Modbox,10.99,141,15,156
414140,Jewel bits,4.99,1,4,5
414190,Junk Jack,10.99,256,63,319
414260,Ironclads 2: American Civil War,6.99,28,10,38
414290,Princess.Loot.Pixel.Again,3.19,955,167,1122
414330,We Are Chicago,10.99,9,18,27
414340,Hellblade: Senua's Sacrifice,24.99,20227,1805,22032
414370,Raining Blobs,7.19,56,4,60
414470,Nightmare on Azathoth,0.79,16,11,27
414490,Crashnauts,6.99,30,1,31
414500,Caribbean Odyssey,7.19,1,11,12
414510,5089: The Action RPG,5.59,249,42,291
414530,Skyforge,0.00,1270,946,2216
414550,Death Toll,0.79,117,71,188
414580,Uriel's Chasm 2: את,3.99,111,224,335
414660,Vampire Legends: The True Story of Kisilova,6.99,283,46,329
414700,Outlast 2,23.79,10790,1563,12353
414720,Astrox: Hostile Space Excavation,7.19,291,50,341
414730,Epic Clicker Journey,0.00,438,212,650
414740,RAID: World War II,15.49,888,806,1694
414760,Blue-Collar Astronaut,3.99,15,1,16
414770,Bionite: Origins,8.99,1,2,3
414810,Observatory: A VR Variety Pack,6.99,8,1,9
414870,Super Mega Baseball 2,23.79,374,76,450
414920,Corgi Warlock,1.69,207,57,264
414950,Star Nomad 2,9.99,102,39,141
415000,GTGD S3 How To Make A Game,5.59,44,0,44
41500,Torchlight,10.99,3825,317,4142
415030,One More Dungeon,3.99,409,117,526
415080,Cyber Team Manager,2.99,33,50,83
415090,KByte,2.09,21,2,23
415150,Pang Adventures,6.99,131,30,161
415170,Engare,5.19,244,10,254
415180,Fort Zombie,2.89,30,2,32
415200,Motorsport Manager,24.99,4278,488,4766
415240,Feesh,0.79,94,27,121
415270,Star Crusade CCG,0.00,1479,344,1823
415300,Monster Monpiece,14.99,197,64,261
415330,When In Rome,3.99,4,1,5
415350,Shooting Stars!,3.99,500,57,557
415390,Viking Saga: The Cursed Ring,1.99,18,4,22
415400,Cross Set,1.99,157,29,186
415420,Nyan Cat: Lost In Space,3.99,1394,106,1500
415480,Hyperdevotion Noire: Goddess Black Heart (Neptunia),19.49,571,126,697
415530,Fly, Glowfly!,3.99,10,2,12
415590,Earthfall,23.79,1171,592,1763
415600,Kart Racing Pro,29.99,62,21,83
415610,Red Comrades Save the Galaxy: Reloaded,2.79,387,26,413
415660,Tiger Knight,0.00,859,552,1411
415670,Highrise Heroes: Word Challenge,3.99,65,5,70
415740,OmniBus,6.99,195,48,243
415830,Gnomes Garden,3.99,84,11,95
415840,Mystic Saga,3.99,86,46,132
415850,BAD END,2.09,251,48,299
415860,Tactical Craft Online,0.00,572,592,1164
415880,Disc Jam,10.99,1015,354,1369
415890,Crystal Picnic,2.09,13,9,22
415900,Bugspeed Collider,3.99,3,0,3
415910,Gigachess,2.79,49,7,56
415920,Voidspire Tactics,10.99,112,4,116
415950,Yohjo Simulator,3.99,130,106,236
415960,Energy Cycle,1.99,167,52,219
415980,Quatro Luzes,4.79,6,2,8
415990,Lightbender,1.99,21,4,25
416000,Fantasy Farming: Orange Season,10.59,88,5,93
41600,Earthworm Jim 3D,14.99,34,36,70
416020,Heavy Gear Assault,29.99,86,123,209
416030,Your Quest,0.00,74,55,129
416040,CLASH,0.00,87,120,207
416070,Mars 2030,3.99,19,19,38
416080,The Odyssey: Winds of Athena,1.99,331,181,512
416090,Caretaker Retribution,2.79,4,2,6
416110,Blitz Breaker,0.79,88,12,100
416120,InterSection,5.99,5,0,5
416140,The Final Frontier: Space Simulator,0.79,7,12,19
416160,Heresy,14.99,1,2,3
416170,HotLead,0.79,88,177,265
416180,Gun Bombers,5.59,34,4,38
416190,Vehicle Simulator,18.99,51,14,65
416200,Door To Door,3.99,21,18,39
416210,Block'hood,10.99,707,248,955
416240,Space Impossible,6.99,71,7,78
416250,Tales [PC],5.79,23,6,29
416290,Bleeding Border,3.99,22,26,48
416310,Goblin Defenders: Steel‘n’ Wood,1.99,49,32,81
416320,Rescue Team 5,2.79,59,10,69
416330,Revolt,3.99,5,6,11
416340,Viking Saga: New World,2.79,15,4,19
416350,MiniBikers,4.79,28,33,61
416360,Max's Big Bust - A Captain Nekorai Tale,15.49,78,3,81
416370,Showing Tonight: Mindhunters Incident,3.99,44,34,78
416380,The Hurricane of the Varstray -Collateral hazard-,6.99,85,26,111
416390,Magnetron,4.79,3,3,6
416430,In The Dead Of Night - Urszula's Revenge,3.99,5,4,9
416450,Emporea: Realms of War and Magic,0.00,250,148,398
416530,Tacopocalypse,3.99,53,6,59
416550,Rubber Ducky and the Rainbow Gun,0.79,132,13,145
416590,Emily Wants To Play,3.99,914,222,1136
416600,Full Metal Furies,14.99,963,94,1057
41660,Tommy Tronic,6.99,7,7,14
416610,The Growth Journey,2.79,39,21,60
416630,True Lover's Knot,5.19,51,59,110
416640,Diabolical,4.79,93,23,116
416670,Gunslingers,0.00,176,148,324
416680,Zombie Night Terror,9.99,1140,86,1226
416690,Oh...Sir! Prototype,0.00,811,76,887
416700,5 Minutes Rage,4.99,15,4,19
416720,Toro,1.99,23,16,39
416760,Pay2Win: The Tricks Exposed,3.99,74,47,121
416770,SquareCells,1.99,555,46,601
416790,The Metronomicon: Slay The Dance Floor,14.99,224,25,249
416800,Cluck Yegger in Escape From The Planet of The Poultroid,1.99,35,15,50
41680,Death and the Fly,6.99,3,9,12
416830,Light Fall,10.99,49,6,55
416840,Color By,6.99,4,1,5
416850,Astral Gun,1.59,12,4,16
416870,Kitty Powers' Love Life,9.99,51,2,53
41700,S.T.A.L.K.E.R.: Call of Pripyat,12.99,10172,470,10642
417060,UnSummoning: the Spectral Horde,0.00,15,6,21
417110,Mayjasmine Episode01 - What is God?,6.99,189,88,277
417150,Pavilion,6.99,60,21,81
417200,Make Sail,15.49,42,17,59
417290,Ghost of a Tale,19.49,2119,173,2292
417310,Hiragana Pixel Party,5.59,14,7,21
417350,Monkey King Saga,3.99,1,9,10
417400,LeftWay,9.99,14,3,17
41740,Cargo! The Quest for Gravity,6.99,260,72,332
417410,Northern Tale,1.99,21,1,22
417430,Moto Racer  4,11.39,474,252,726
417480,Marcus Level,3.99,15,7,22
417750,Left Alone,4.99,232,69,301
417840,Mysterious Castle,3.99,2,10,12
417860,Emily is Away,0.00,25981,3340,29321
417880,Everybody's Gone to the Rapture,15.99,667,293,960
417890,Apotheon Arena,0.00,758,166,924
417900,Upwards, Lonely Robot,7.99,26,1,27
417910,Street Warriors Online,1.59,956,724,1680
417920,Mistfal,0.00,26,28,54
417980,Planet Diver,2.79,45,9,54
417990,Major\Minor,14.99,335,82,417
41800,Gratuitous Space Battles,10.99,505,168,673
418030,Subsistence,10.59,2680,1130,3810
418040,hocus,0.79,488,41,529
418050,FALL,4.79,7,3,10
418060,Battle Riders,3.99,74,35,109
418070,Turbo Pug,0.79,3041,310,3351
418120,Cally's Caves 3,5.99,349,77,426
418150,The Madness of Little Emma,5.99,107,24,131
418160,Garden Rescue: Christmas Edition,2.79,48,9,57
418170,MicroRC Simulation,1.59,6,2,8
418180,Tempest: Pirate Action RPG,14.99,1221,501,1722
418190,Helen's Mysterious Castle,1.59,513,31,544
418210,Metal Tales: Fury of the Guitar Gods,4.99,65,7,72
418240,Shadow Tactics: Blades of the Shogun,34.99,9523,417,9940
418250,Polaris Sector,29.99,245,101,346
418260,Gumball Drift,14.99,8,8,16
418270,Draw Slasher,3.99,71,28,99
418280,Retaliation,0.00,25,63,88
418300,Wick,4.79,363,66,429
418310,Chronicles of a Dark Lord: Rhapsody Clash,0.79,15,12,27
418340,RWBY: Grimm Eclipse,14.99,8844,1830,10674
418360,Gurgamoth,3.99,67,11,78
418370,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,19.99,19022,1718,20740
418430,Survive Me Miolhr,6.99,6,11,17
418440,Tick Tock Isle,0.79,212,24,236
418460,Rising Storm 2: Vietnam,18.99,17201,4777,21978
418520,SculptrVR,14.99,61,1,62
418610,Swiftly,0.79,62,59,121
418620,The TakeOver,15.99,187,17,204
418640,Iron Commando - Koutetsu no Senshi,3.99,17,8,25
418650,Space Pirate Trainer,10.99,1909,84,1993
418670,Pankapu,8.99,198,43,241
418910,Idle Civilization,3.99,88,69,157
418940,Waba,3.99,9,3,12
418950,DreadOut: Keepers of The Dark,4.99,412,102,514
418960,Catorize,1.99,5,14,19
419000,Relic Alone,3.99,3,1,4
41900,The Bard's Tale,6.99,644,188,832
419020,Wishmere,8.99,18,6,24
419080,Bridge Constructor Stunts,6.99,63,28,91
419090,Vector Strain,3.99,45,10,55
419130,Strength of the Sword ULTIMATE,7.19,16,1,17
419460,That Dragon, Cancer,6.99,996,110,1106
419480,Starpoint Gemini Warlords,26.99,1830,628,2458
419500,Red Game Without A Great Name,1.99,58,3,61
419590,Tales from the Void,6.99,31,14,45
419700,AT SUNDOWN: Shots in the Dark,11.24,15,6,21
419710,Rogue Singularity,10.99,12,0,12
419810,House of Hell (Standalone),3.99,35,4,39
419990,Ganbare! Super Strikers,6.99,20,2,22
420000,Home Design 3D,6.99,464,147,611
42000,Trino,3.49,9,5,14
420020,Eye of the Owl - Bosch VR,0.00,38,2,40
420060,Candle,11.99,322,52,374
420070,Kill The Plumber,3.99,60,28,88
420100,CLANNAD Side Stories,14.99,130,13,143
420110,NEKOPARA Vol. 2,6.99,8671,238,8909
420160,Alphabeats: Master Edition,5.59,8,4,12
420170,Shrug Island - The Meeting,7.19,11,2,13
420180,Chronicle of Innsmouth,10.29,78,15,93
420210,KRUM - Edge Of Darkness,2.09,34,68,102
420270,Into the Void,3.99,68,45,113
420290,Blackwake,14.99,9352,1367,10719
420300,The Admin,1.69,7,14,21
420360,Spectrum,3.99,44,9,53
420370,Gravity Island,4.49,5,2,7
420380,The Strike,6.99,16,4,20
420440,Atlantic Fleet,6.99,523,101,624
420500,Rynn's Adventure: Trouble in the Enchanted Forest,6.99,13,4,17
420520,Lost Technology,3.99,257,28,285
420530,OneShot,6.99,10985,220,11205
420550,Super Arcade Football,6.99,88,25,113
420570,Cubixx HD,5.99,26,3,29
420660,Burnin' Rubber 5 HD,7.19,84,10,94
420670,Elite vs. Freedom,3.99,26,46,72
420740,The Deed,0.49,1378,137,1515
420770,The Legend of Dark Witch,3.99,134,39,173
420790,StarBreak,0.00,728,221,949
420840,BLARP!,1.99,164,9,173
420850,Cosmic Leap,0.79,82,30,112
420880,I must kill...: Fresh Meat,0.00,62,160,222
420900,Mech Anarchy,5.79,10,3,13
420920,Lost Labyrinth Extended Version,3.99,26,17,43
420930,CHKN,10.99,406,100,506
420950,Time Tenshi,6.99,70,27,97
420970,RoBoRumble,4.79,48,45,93
420980,Army Gals,10.29,167,14,181
420,Half-Life 2: Episode Two,5.79,13902,696,14598
421020,DiRT 4,44.99,3779,1923,5702
421030,Catch Me,4.79,481,126,607
421040,Plantera,2.09,3709,485,4194
421050,Deponia Doomsday,14.99,1868,270,2138
421110,AWAKE,0.00,16,22,38
421120,Samorost 3,16.99,1888,98,1986
421140,Blades of the Righteous,1.99,11,6,17
421180,Umbra: Shadow of Death,0.00,7,3,10
42120,Lead and Gold: Gangs of the Wild West,7.99,1471,545,2016
421260,Militia,4.79,107,3,110
42140,Hamilton's Great Adventure,6.99,169,83,252
421600,Ray Gigant,22.99,40,31,71
421610,XBlaze Code: Embryo,14.99,42,6,48
421620,Dissonance: An Interactive Novelette,0.79,4,3,7
421630,A Study in Steampunk: Choice by Gaslight,2.89,128,4,132
421660,Harmonia,6.99,342,8,350
421670,CUPID - A free to play Visual Novel,0.00,865,129,994
421700,Sakura Santa,6.99,478,78,556
42170,Krater,10.99,429,329,758
421710,Space Live - Advent of the Net Idols,6.99,34,6,40
421740,Goetia,9.99,223,51,274
421810,OH! RPG!,1.99,252,82,334
421870,Quatros Origins,3.99,16,3,19
421880,Plastiland,5.59,58,27,85
421890,Avaris 2: The Return of the Empress,5.59,25,18,43
422010,Eczema Angel Orifice,3.99,1,0,1
422020,Dark Days,1.99,33,12,45
422030,ReVeN: XBridge,6.99,9,5,14
422100,Heaven Island Life,0.79,362,316,678
42210,Nancy Drew®: Secrets Can Kill REMASTERED,5.19,48,23,71
422110,Wand Wars,8.99,149,9,158
422130,Comic Book Hero: The Greatest Cape,14.99,48,53,101
422140,Wrestling Spirit 3,14.99,28,28,56
42220,Nancy Drew®: The Captive Curse,5.19,48,8,56
422210,Rise of Keepers,9.99,18,12,30
422250,ShipLord,10.99,324,238,562
422270,City Play,2.79,8,18,26
422300,Element,10.99,16,5,21
42230,Nancy Drew®: Trail of the Twister,4.99,22,8,30
422420,Godus Wars,10.99,91,440,531
422500,Emmerholt: Prologue,0.00,71,23,94
422510,DEMON'S TILT,11.39,74,5,79
422590,Wacky Wheels HD,7.19,13,33,46
422610,1775: Rebellion,18.99,29,23,52
422630,Metaverse Construction Kit,0.00,158,80,238
422640,VR Karts SteamVR,10.99,17,29,46
422650,Megamagic: Wizards of the Neon Age,7.19,65,17,82
422760,Ocean Rift,6.99,63,11,74
422810,River City Ransom: Underground,14.99,1285,425,1710
422860,Holodance,15.49,161,22,183
422870,Super Duper Flying Genocide 2017,0.79,1000,441,1441
422900,Particle Fleet: Emergence,11.39,470,40,510
422910,Creeper World: Anniversary Edition,3.99,133,8,141
422920,Creeper World 2: Anniversary Edition,3.99,67,7,74
422940,Divergence: Online,14.99,72,51,123
422970,Devil Daggers,3.99,4462,222,4684
422980,Super Robot Jump Jump,3.99,24,5,29
4230,RACE - The WTCC Game,25.99,119,43,162
423120,Community College Hero: Trial by Fire,2.89,206,26,232
423180,A.I. Space Corps,3.99,4,14,18
423220,T-Kara Puzzles,3.99,20,2,22
423230,Furi,14.99,4199,474,4673
423270,ZHEROS,6.99,29,9,38
423320,Pendragon Rising,2.89,71,15,86
423440,Choice of Kung Fu,3.99,35,2,37
423490,Air Missions: HIND,12.99,286,75,361
423550,Day D: Tower Rush,3.99,80,28,108
423580,Project Highrise,14.99,1724,400,2124
423590,The Little Acre,9.99,369,52,421
423600,Adelantado Trilogy. Book one,3.99,18,3,21
423610,Where's My Mommy?,4.79,120,33,153
423620,HERO DEFENSE,24.99,351,97,448
423650,Summer Fling,7.19,50,28,78
423700,Apocalypse Hotel - The Post-Apocalyptic Hotel Simulator!,4.99,26,41,67
423710,Invasion: Brain Craving,0.79,115,151,266
423720,Color Chaos,0.79,13,1,14
423730,Hyper Gods,5.19,10,1,11
423740,Save Your Mother,2.89,28,10,38
423750,Gardenarium,3.99,24,9,33
423760,Hit Tank PRO,1.99,69,43,112
423770,Our Love Will Grow,3.99,101,43,144
423780,Zero Gravity,5.19,6,2,8
423800,Automata Empire,6.19,34,14,48
423810,Marooners,7.19,381,160,541
423870,Astervoid 2000,3.99,31,8,39
423880,Carpe Diem,0.00,6791,793,7584
423890,Gods and Idols,0.00,419,183,602
423900,Dinocide,6.99,98,90,188
423950,Deadlight: Director's Cut,8.99,470,217,687
424000,Project Pulsation,3.99,56,85,141
424010,Crudelis,4.79,18,2,20
424030,War of Rights,23.79,1212,319,1531
